agent_model,year_integer,score/welfare/AUS,score/welfare/ENG,score/welfare/FRA,score/welfare/GER,score/welfare/ITA,score/welfare/RUS,score/welfare/TUR,score/centers/AUS,score/centers/ENG,score/centers/FRA,score/centers/GER,score/centers/ITA,score/centers/RUS,score/centers/TUR,score/units/AUS,score/units/ENG,score/units/FRA,score/units/GER,score/units/ITA,score/units/RUS,score/units/TUR
gpt-3.5-turbo-16k-0613,9,11.0,17.0,15.0,17.0,17.0,25.0,15.0,5.0,3.0,3.0,2.0,5.0,6.0,3.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0
gpt-3.5-turbo-16k-0613,10,13.0,17.0,15.0,17.0,19.0,27.0,15.0,5.0,3.0,3.0,2.0,5.0,6.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0
gpt-3.5-turbo-16k-0613,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
gpt-3.5-turbo-16k-0613,1,3.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0
gpt-3.5-turbo-16k-0613,2,6.0,6.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,0.0,0.0,2.0,2.0,1.0,4.0,3.0
gpt-3.5-turbo-16k-0613,3,7.0,6.0,5.0,5.0,6.0,8.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,0.0,3.0
gpt-3.5-turbo-16k-0613,4,10.0,8.0,7.0,6.0,11.0,8.0,5.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,0.0,1.0,2.0,2.0,0.0,4.0,3.0
gpt-3.5-turbo-16k-0613,5,13.0,10.0,9.0,6.0,13.0,12.0,6.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,0.0,1.0,2.0,3.0,3.0,1.0,3.0
gpt-3.5-turbo-16k-0613,6,14.0,13.0,10.0,9.0,14.0,17.0,10.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0
gpt-3.5-turbo-16k-0613,7,17.0,16.0,12.0,10.0,16.0,19.0,12.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0,0.0,1.0,1.0,2.0,3.0,3.0,2.0
gpt-3.5-turbo-16k-0613,8,18.0,20.0,13.0,11.0,18.0,21.0,16.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0,2.0,0.0,2.0,2.0,3.0,3.0,0.0
gpt-3.5-turbo-16k-0613,9,19.0,21.0,14.0,11.0,19.0,23.0,18.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0
gpt-3.5-turbo-16k-0613,10,23.0,22.0,16.0,12.0,20.0,25.0,20.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,0.0,3.0,1.0,2.0,3.0,3.0,2.0
gpt-3.5-turbo-16k-0613,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
gpt-3.5-turbo-16k-0613,1,2.0,3.0,3.0,0.0,3.0,4.0,0.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0
gpt-3.5-turbo-16k-0613,2,3.0,4.0,6.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,0.0,0.0,3.0,4.0,0.0
gpt-3.5-turbo-16k-0613,3,8.0,6.0,6.0,3.0,6.0,8.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,0.0,1.0,3.0,3.0,0.0,0.0,3.0
gpt-3.5-turbo-16k-0613,4,13.0,6.0,6.0,4.0,6.0,8.0,6.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,0.0,3.0,3.0,3.0,3.0,4.0,0.0
gpt-3.5-turbo-16k-0613,5,14.0,6.0,9.0,5.0,9.0,11.0,9.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,4.0,0.0,3.0,0.0,2.0,0.0
gpt-3.5-turbo-16k-0613,6,16.0,9.0,9.0,6.0,9.0,13.0,12.0,6.0,4.0,3.0,5.0,2.0,4.0,3.0,4.0,1.0,3.0,4.0,2.0,2.0,0.0
gpt-3.5-turbo-16k-0613,7,22.0,13.0,12.0,11.0,11.0,15.0,12.0,6.0,4.0,3.0,5.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
gpt-3.5-turbo-16k-0613,8,26.0,14.0,15.0,14.0,11.0,16.0,14.0,6.0,4.0,3.0,5.0,2.0,4.0,4.0,2.0,3.0,0.0,2.0,2.0,3.0,2.0
gpt-3.5-turbo-16k-0613,9,30.0,18.0,15.0,17.0,13.0,17.0,16.0,6.0,4.0,3.0,5.0,2.0,4.0,4.0,2.0,0.0,3.0,2.0,0.0,3.0,2.0
gpt-3.5-turbo-16k-0613,10,33.0,19.0,15.0,22.0,13.0,18.0,20.0,6.0,4.0,3.0,5.0,2.0,4.0,4.0,3.0,3.0,3.0,0.0,2.0,3.0,0.0
gpt-3.5-turbo-16k-0613,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
gpt-3.5-turbo-16k-0613,1,3.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
gpt-3.5-turbo-16k-0613,2,3.0,3.0,3.0,4.0,5.0,7.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,0.0,1.0,1.0
gpt-3.5-turbo-16k-0613,3,6.0,6.0,3.0,5.0,8.0,10.0,6.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0
gpt-3.5-turbo-16k-0613,4,6.0,6.0,6.0,6.0,8.0,12.0,9.0,3.0,3.0,3.0,4.0,3.0,6.0,3.0,3.0,3.0,0.0,3.0,3.0,4.0,0.0
gpt-3.5-turbo-16k-0613,5,8.0,9.0,6.0,7.0,9.0,17.0,9.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,2.0,0.0,3.0,3.0,3.0,0.0,3.0
gpt-3.5-turbo-16k-0613,6,10.0,9.0,6.0,11.0,10.0,22.0,12.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0
gpt-3.5-turbo-16k-0613,7,14.0,12.0,9.0,12.0,13.0,27.0,15.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0
gpt-3.5-turbo-16k-0613,8,16.0,12.0,10.0,13.0,14.0,28.0,18.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,0.0
gpt-3.5-turbo-16k-0613,9,19.0,12.0,11.0,16.0,16.0,33.0,18.0,6.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,3.0
gpt-3.5-turbo-16k-0613,10,22.0,15.0,12.0,17.0,18.0,35.0,18.0,6.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,0.0,2.0,3.0,1.0,3.0,3.0
